movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published
"Three Billboards Outside Ebbing, Missouri Official Trailer",Jit3YhGx5pU,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI | Official Red Band Trailer | FOX Searchlight",FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,3075,8828628,36033,2017-03-23T16:45:12.000Z
Daddys Home 2 Official Trailer,yyW_EX7iRW0,"Daddy's Home 2 Official Trailer #2 (2017) Mark Wahlberg, Will Ferrell Comedy Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,3767,11716065,59729,2017-09-06T13:21:18.000Z
Murder on the Orient Express Official Trailer,Mq4m3yAoW8E,Murder on the Orient Express | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,8644,12807174,71981,2017-06-01T13:00:34.000Z
LBJ Official Trailer,xrnEp8WLH0g,LBJ Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,612,543281,2721,2017-07-27T20:22:47.000Z
Lady Bird Official Trailer,cNi_HC839Wo,Lady Bird | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,3233,15170575,84001,2017-09-05T13:00:06.000Z
Thor: Ragnarok Official Trailer,ue80QwXMRHg,"""Thor: Ragnarok"" Official Trailer",Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,60703,72849257,738040,2017-07-23T01:27:50.000Z
A Bad Moms Christmas Official Trailer,FJdNdMOblaM,"A Bad Mom's Christmas Official Trailer #2 (2017) Mila Kunis, Kristen Bell Comedy Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,555,3966837,14600,2017-09-06T13:24:46.000Z
Jigsaw Official Trailer,vPP6aIw1vgY,Jigsaw (2017 Movie) Official Trailer,Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,10519,17694831,80505,2017-07-20T15:50:00.000Z
Thank You for Your Service Official Trailer,50LQGcb5knE,Thank You for Your Service Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,2137,2998339,26531,2017-06-20T15:07:29.000Z
Let There Be Light Official Trailer,PnTc2p2w2X8,Let There Be Light Trailer #1 | Movieclips Indie,Movieclips Indie,UCLyYEq4ODlw3OD9qhGqwimw,615,283865,1445,2017-09-13T23:14:39.000Z
Only the Brave Official Trailer,EE_GY6zccqc,Only the Brave Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,903,2441755,9592,2017-07-19T16:27:08.000Z
Geostorm Official Trailer,EuOlYPSEzSc,GEOSTORM - OFFICIAL TRAILER 2 [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,5423,14207290,41296,2017-07-06T15:58:32.000Z
Same Kind of Different as Me Official Trailer,PltWQ8kQe04,Same Kind of Different as Me Official Trailer 1 (2017) - Greg Kinnear Movie,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,646,697640,3590,2016-08-17T15:09:14.000Z
Tyler Perrys Boo 2! A Madea Halloween Official Trailer,EwRAqEBITuc,"Boo 2! A Madea Halloween Official Trailer #2 (2017) Tyler Perry, Brock O'Hurn Comedy Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,2090,2980874,25413,2017-08-18T13:29:47.000Z
The Snowman Official Trailer,BF2Ksrxu_QY,The Snowman Official Trailer #1 (2017) Michael Fassbender Thriller Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,9515,13721333,74180,2017-07-19T14:26:35.000Z
Marshall Official Trailer,_vy3S0OTFaY,MARSHALL Official Trailer (2017) Chadwick Boseman Movie HD,ONE Media,UCzcRQ3vRNr6fJ1A9rqFn7QA,426,551655,4376,2017-06-22T13:07:28.000Z
Happy Death Day Official Trailer,1NTaDm3atkc,Happy Death Day Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,5315,6314870,39918,2017-06-15T15:14:38.000Z
The Foreigner Official Trailer,om9YCk7ufHs,"The Foreigner Official Trailer #1 (2017) Jackie Chan, Pierce Brosnan Action Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,7859,10331614,81652,2017-06-26T14:10:13.000Z
Demonic Official Trailer,pvyPmbBpBWw,Demonic Official UK Trailer #1 (2015) - Cody Horn Movie HD,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,502,1545137,4558,2015-04-30T17:48:03.000Z
Blade Runner 2049 Official Trailer,gCcx85zbxz4,BLADE RUNNER 2049 - Official Trailer,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,17641,28488256,160808,2017-05-08T16:35:21.000Z
The Florida Project Official Trailer,WwQ-NH1rRT4,The Florida Project | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1371,4260453,21502,2017-08-14T13:00:03.000Z
Visages villages Official Trailer,KKbjnLpxv70,Faces Places - Official Trailer,Madman Films,UCuF-f_kairxTjOyHSItrmtg,26,183811,855,2017-07-21T02:45:54.000Z
"Don Gato, el inicio de la pandilla Official Trailer",ngFjXFxrG8o,DON GATO: El Inicio de la Pandilla - Trailer 2 - Oficial Warner Bros. Pictures,Warner Bros. Pictures Latinoamérica,UCu-cVVMn41qUA-pwdEhNqhg,147,740122,1510,2015-09-14T20:51:59.000Z
Flatliners Official Trailer,gUDV0CUzG0k,FLATLINERS - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,2706,7650840,17339,2017-06-13T13:00:02.000Z
American Made Official Trailer,AEBIJRAkujM,American Made - Official Trailer [HD],Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,2280,12754872,25056,2017-06-05T15:01:01.000Z
"Mune, le gardien de la lune Official Trailer",AbHXQRiY3H8,"Mune / Mune, le gardien de la lune (2015) - Trailer English",UniFrance,UC4AIWUgVg6uPKepImpbJQ8A,16,158394,354,2015-04-01T08:02:03.000Z
Victoria and Abdul Official Trailer,T504u17Ao9A,VICTORIA & ABDUL - Official Trailer [HD] - In Theaters 9/22,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,2044,5537506,38194,2017-05-30T14:18:32.000Z
The Lego Ninjago Movie Official Trailer,F5JV3nVOLMA,The LEGO NINJAGO Movie - Trailer 2 [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,4804,13454124,42937,2017-07-22T14:30:15.000Z
Friend Request Official Trailer,nDNgs0dgjj4,Friend Request Official International Trailer #1 (2016) - Alycia Debnam-Carey Thriller HD,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,4603,7240931,26945,2016-03-11T16:51:17.000Z
Stronger Official Trailer,XkoM5r9LR14,Stronger Official Trailer #1 (2017) Jake Gyllenhaal Biography Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,1204,2497080,20696,2017-06-22T16:24:09.000Z
Battle of the Sexes Official Trailer,WMdzBwsZRX8,BATTLE OF THE SEXES Trailer (2017),KinoCheck International,UCLRlryMfL8ffxzrtqv0_k_w,1619,2929821,11586,2017-05-16T16:48:46.000Z
Kingsman: The Golden Circle Official Trailer,6Nxc-3WpMbg,Kingsman: The Golden Circle | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,10348,23572754,197616,2017-04-25T03:30:14.000Z
mother! Official Trailer,XpICoc65uh0,mother! movie (2017) - official trailer - paramount pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,9584,16654936,42837,2017-08-08T04:02:11.000Z
American Assassin Official Trailer,r9rNf-cLWKU,"AMERICAN ASSASSIN - Official Trailer - HD (Dylan O'Brien, Michael Keaton)",CBS Films,UCzym8ZiGEf186PlXw77voRw,419,2275124,6261,2017-06-20T14:17:35.000Z
Home Again Official Trailer,lfHZ-B374iA,Home Again Trailer #2 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,409,2155696,6581,2017-06-15T16:46:34.000Z
It Official Trailer,xKJmEC5ieOk,IT - Official Trailer 1,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,22508,36508338,208759,2017-07-27T16:00:02.000Z
Sky Sharks Official Trailer,DcoVJsURfk4,SKY SHARKS Trailer (2017),KinoCheck International,UCLRlryMfL8ffxzrtqv0_k_w,1464,1352694,5791,2016-05-09T12:01:37.000Z
Tulip Fever Official Trailer,2djWwOK0Im8,"Tulip Fever Official Trailer #1 (2017) Cara Delevingne, Alicia Vikander Drama Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,1154,3782915,30629,2017-04-25T19:47:08.000Z
Ballerina Official Trailer,fmK7X0swHrE,"Ballerina Official International Trailer #1 (2016) Elle Fanning, Maddie Ziegler Animated Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,3166,6123045,38285,2016-10-04T12:52:21.000Z
All Saints Official Trailer,KCUBHlqzFDE,All Saints Trailer #1 (2017) | Movieclips Indie,Movieclips Indie,UCLyYEq4ODlw3OD9qhGqwimw,83,301130,609,2017-06-15T00:44:25.000Z
Polina danser sa vie Official Trailer,BjqnVrEByIE,"Polina / Polina, danser sa vie (2016) - Trailer (English Subs)",UniFrance,UC4AIWUgVg6uPKepImpbJQ8A,4,70717,186,2016-10-24T09:10:23.000Z
