movie,budge,gross,comment_count,view_count,like_count,year
On the Basis of Sex,20000000.0,24622687.0,2251,8111048,28827,2018
Destroyer,9000000.0,1533324.0,95,129496,661,2018
Vice,60000000.0,47836282.0,1631,2453119,13255,2018
Aquaman,160000000.0,335061807.0,94633,59057688,648092,2018
Welcome to Marwen,45000000.0,10763520.0,9197,4773419,69748,2018
Second Act,15700000.0,39282227.0,570,5927332,12798,2018
Bumblebee,102000000.0,127195589.0,23010,20725596,168304,2018
Mary Poppins Returns,130000000.0,171958438.0,20728,15694742,178817,2018
Spider-Man: Into The Spider-Verse 3D,90000000.0,190173195.0,41229,30974356,421167,2018
If Beale Street Could Talk,12000000.0,14915773.0,745,878540,9585,2018
The Mule,50000000.0,103804407.0,6621,14909536,81644,2018
Mortal Engines,100000000.0,15951040.0,12393,24042122,112162,2018
That Way Madness Lies,650000.0,1447.0,2,5627,7,2018
Bird Box,19800000.0,0.0,15783,20060237,160915,2018
Mary Queen of Scots,25000000.0,16468499.0,4133,6409774,20382,2018
Ben is Back,13000000.0,3703182.0,250,760528,3026,2018
The Possession of Hannah Grace,6000000.0,14836174.0,3939,10477468,50327,2018
Werk ohne Autor,1400000.0,1303747.0,172,485613,3572,2018
The Favourite,15000000.0,34366783.0,1957,9458033,31916,2018
Robin Hood,99000000.0,30824628.0,5525,14322651,50875,2018
Robin Hood,210000000.0,105487148.0,5525,14322651,50875,2018
Ralph Breaks The Internet,175000000.0,201091711.0,14941,8236195,86532,2018
Creed II,50000000.0,115715889.0,10389,17766184,146412,2018
Green Book,23000000.0,85080171.0,4171,10954836,45452,2018
Instant Family,48000000.0,67363237.0,2254,15916920,48260,2018
Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,10753,12519546,145544,2018
Widows,40000000.0,42402632.0,2679,9654524,26642,2018
Bohemian Rhapsody,55000000.0,216303339.0,18757,34007096,304198,2018
The Nutcracker and the Four Realms,132900000.0,54858851.0,5175,4748239,34815,2018
Air Strike,65000000.0,0.0,171,229524,423,2018
London Fields,8000000.0,252676.0,757,2229261,9557,2018
Suspiria,20000000.0,2483472.0,3020,10866083,30108,2018
Indivisible,2700000.0,3511417.0,245,926728,5598,2018
Can You Ever Forgive Me?,10000000.0,8803865.0,445,4540140,7437,2018
Halloween,10000000.0,159342015.0,52817,31690125,324070,2018
Halloween,15000000.0,58269151.0,52817,31690125,324070,2018
Halloween,325000.0,47000000.0,52817,31690125,324070,2018
First Man,60000000.0,44936545.0,6016,6956890,25102,2018
