movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published
BlacKkKlansman Official Trailer,pFc6I0rgmgY,BLACKkKLANSMAN - Official Trailer [HD] - In Theaters August 10,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,11240,18068292,58101,2018-05-14T18:59:59.000Z
The Darkest Minds Official Trailer,tN8o_E_f9FQ,The Darkest Minds | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,11138,21839332,80862,2018-03-28T13:00:07.000Z
Christopher Robin Official Trailer,0URpDxIjZrQ,Christopher Robin Official Trailer,Walt Disney Studios,UCuaFvcY4MhZY3U43mMt1dYQ,21550,12550482,208945,2018-05-25T19:00:02.000Z
Teen Titans Go! To The Movies Official Trailer,r9WhJyyTtqo,Teen Titans GO! To The Movies - Official Trailer 1 [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,12506,9331925,43674,2018-05-01T16:00:26.000Z
Mission: Impossible-Fallout Official Trailer,wb49-oV0F78,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,24072,34808086,303351,2018-02-05T00:16:37.000Z
The Equalizer 2 Official Trailer,HyNJ3UrGk_I,THE EQUALIZER 2 - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,3205,9803664,37601,2018-04-19T13:00:02.000Z
Teefa in Trouble Official Trailer,jw5dTVTX9zo,Teefa In Trouble OFFICIAL TRAILER 2018 | Ali Zafar | Maya Ali | Pakistani Movie 2018,Lightingale Productions,UCOEduNLe40YlkehEad0VZ0Q,7064,5447450,63357,2018-06-14T16:00:47.000Z
Unfriended: Dark Web Official Trailer,XenTM_C9fxM,Unfriended: Dark Web Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,14260,7750738,93944,2018-06-14T16:00:40.000Z
Skyscraper Official Trailer,t9QePUT-Yt8,Skyscraper - Official Trailer [HD],Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,8647,25422022,166839,2018-02-05T06:18:56.000Z
Hotel Transylvania 3: Summer Vacation Official Trailer,Ku52zNnft8k,HOTEL TRANSYLVANIA 3: SUMMER VACATION - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,2554,16309386,60614,2018-03-21T16:00:22.000Z
Eighth Grade Official Trailer,y8lFgF_IjPw,Eighth Grade | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,8600,5953565,65206,2018-03-14T13:00:05.000Z
Sorry to Bother You Official Trailer,XthLQZWIshQ,Sorry to Bother You Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,2558,3295274,32007,2018-03-12T01:18:22.000Z
Ant-Man and the Wasp Official Trailer,UUkn-enk2RU,Marvel Studios' Ant-Man and The Wasp - Official Trailer #2,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,30795,29551307,489202,2018-05-01T14:02:27.000Z
The First Purge Official Trailer,UL29y0ah92w,The First Purge – Official Trailer [HD],Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24513,16460747,117855,2018-04-06T14:00:16.000Z
Uncle Drew Official Trailer,9H2SSvQ8ihA,"Uncle Drew (2018 Movie) Official Trailer – Kyrie Irving, Shaq, Lil Rel, Tiffany Haddish",Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,1685,12508289,36645,2018-04-26T16:11:33.000Z
